fecha,linea,turno,envase,maquina,toma,kg,und,baja
2026-01-06,1,1,3500005,13,1,25.0,142,true
2026-01-06,2,1,3500162,1,1,29.0,139,true
2026-01-06,2,1,3500162,2,1,18.0,86,true
2026-01-06,2,1,3500162,3,1,17.0,81,true
2026-01-06,2,1,3500162,4,1,10.0,48,true
2026-01-06,2,1,3500162,5,1,12.0,58,true
2026-01-06,2,1,3500162,6,1,16.0,77,true
2026-01-06,2,1,3500162,7,1,21.0,100,true
2026-01-06,2,1,3500162,8,1,37.0,177,true
2026-01-06,2,1,3500162,9,1,10.0,48,true
2026-01-06,2,1,3500162,10,1,12.0,58,true
2026-01-06,2,1,3500162,11,1,22.0,105,true
2026-01-06,2,1,3500162,12,1,27.0,129,true
2026-01-06,2,1,3500162,13,1,29.0,139,true
2026-01-06,4,1,3501430,1,1,32.0,100,true
2026-01-06,4,1,3501430,2,1,23.0,72,true
2026-01-06,4,1,3501430,3,1,19.0,60,true
2026-01-06,4,1,3501430,4,1,17.0,53,true
2026-01-06,4,1,3501430,5,1,10.0,32,true
2026-01-06,4,1,3501430,6,1,24.0,75,true
2026-01-06,4,1,3501430,7,1,16.0,50,true
2026-01-06,4,1,3501430,8,1,39.0,122,true
2026-01-06,4,1,3501430,9,1,12.0,38,true
2026-01-06,4,1,3501430,10,1,18.0,57,true
2026-01-06,4,1,3501430,11,1,27.0,85,true
2026-01-06,4,1,3501430,12,1,20.0,63,true
2026-01-06,4,1,3501430,13,1,29.0,91,true
2026-01-06,6,1,3500888,1,1,30.0,49,true
2026-01-06,6,1,3500888,2,1,27.0,44,true
2026-01-06,6,1,3500888,3,1,17.0,28,true
2026-01-06,6,1,3500888,4,1,19.0,31,true
2026-01-06,6,1,3500888,5,1,12.0,20,true
2026-01-06,6,1,3500888,6,1,21.0,34,true
2026-01-06,6,1,3500888,7,1,18.0,30,true
2026-01-06,6,1,3500888,8,1,37.0,60,true
2026-01-06,6,1,3500888,9,1,19.0,31,true
2026-01-06,6,1,3500888,10,1,20.0,33,true
2026-01-06,6,1,3500888,11,1,27.0,44,true
2026-01-06,6,1,3500888,12,1,32.0,52,true
2026-01-06,6,1,3500888,13,1,30.0,49,true
2026-01-06,1,2,3500005,1,1,12.0,68,true
2026-01-06,1,2,3500005,2,1,20.0,113,true
2026-01-06,1,2,3500005,3,1,22.0,125,true
2026-01-06,1,2,3500005,4,1,18.0,102,true
2026-01-06,1,2,3500005,5,1,0.0,0,true
2026-01-06,1,2,3500005,6,1,28.0,159,true
2026-01-06,1,2,3500005,7,1,0.0,0,true
2026-01-06,1,2,3500005,8,1,12.0,68,true
2026-01-06,1,2,3500005,9,1,16.0,91,true
2026-01-06,1,2,3500005,10,1,20.0,113,true
2026-01-06,1,2,3500005,11,1,21.0,119,true
2026-01-06,1,2,3500005,12,1,25.0,142,true
2026-01-06,1,2,3500005,13,1,30.0,170,true
2026-01-06,2,2,3500162,1,1,20.0,96,true
2026-01-06,2,2,3500162,2,1,21.0,100,true
2026-01-06,2,2,3500162,3,1,24.0,115,true
2026-01-06,2,2,3500162,4,1,26.0,124,true
2026-01-06,2,2,3500162,5,1,12.0,58,true
2026-01-06,2,2,3500162,6,1,27.0,129,true
2026-01-06,2,2,3500162,7,1,12.0,58,true
2026-01-06,2,2,3500162,8,1,10.0,48,true
2026-01-06,2,2,3500162,9,1,19.0,91,true
2026-01-06,2,2,3500162,10,1,21.0,100,true
2026-01-06,2,2,3500162,11,1,28.0,134,true
2026-01-06,2,2,3500162,12,1,35.0,167,true
2026-01-06,2,2,3500162,13,1,40.0,191,true
2026-01-06,4,2,3501430,1,1,25.0,78,true
2026-01-06,4,2,3501430,2,1,24.0,75,true
2026-01-06,4,2,3501430,3,1,35.0,110,true
2026-01-06,4,2,3501430,4,1,40.0,125,true
2026-01-06,4,2,3501430,5,1,35.0,110,true
2026-01-06,4,2,3501430,6,1,33.0,103,true
2026-01-06,4,2,3501430,7,1,15.0,47,true
2026-01-06,4,2,3501430,8,1,19.0,60,true
2026-01-06,4,2,3501430,9,1,28.0,88,true
2026-01-06,4,2,3501430,10,1,30.0,94,true
2026-01-06,4,2,3501430,11,1,37.0,116,true
2026-01-06,4,2,3501430,12,1,41.0,128,true
2026-01-06,4,2,3501430,13,1,30.0,94,true
2026-01-06,6,2,3500888,1,1,24.0,39,true
2026-01-06,6,2,3500888,2,1,20.0,33,true
2026-01-06,6,2,3500888,3,1,27.0,44,true
2026-01-06,6,2,3500888,4,1,18.0,30,true
2026-01-06,6,2,3500888,5,1,15.0,25,true
2026-01-06,6,2,3500888,6,1,28.0,46,true
2026-01-06,6,2,3500888,7,1,16.0,26,true
2026-01-06,6,2,3500888,8,1,14.0,23,true
2026-01-06,6,2,3500888,9,1,20.0,33,true
2026-01-06,6,2,3500888,10,1,27.0,44,true
2026-01-06,6,2,3500888,11,1,31.0,50,true
2026-01-06,6,2,3500888,12,1,41.0,67,true
2026-01-06,6,2,3500888,13,1,35.0,57,true
2026-01-07,1,3,3500005,1,1,12.0,68,true
2026-01-07,1,3,3500005,2,1,10.0,57,true
2026-01-07,1,3,3500005,3,1,15.0,85,true
2026-01-07,1,3,3500005,4,1,18.0,102,true
2026-01-07,1,3,3500005,5,1,12.0,68,true
2026-01-07,1,3,3500005,6,1,26.0,147,true
2026-01-07,1,3,3500005,7,1,10.0,57,true
2026-01-07,1,3,3500005,8,1,11.0,63,true
2026-01-07,1,3,3500005,9,1,12.0,68,true
2026-01-07,1,3,3500005,10,1,10.0,57,true
2026-01-07,1,3,3500005,11,1,10.0,57,true
2026-01-07,1,3,3500005,12,1,10.0,57,true
2026-01-07,1,3,3500005,13,1,15.0,85,true
2026-01-07,2,3,3500162,1,1,15.0,72,true
2026-01-07,2,3,3500162,2,1,10.0,48,true
2026-01-07,2,3,3500162,3,1,18.0,86,true
2026-01-07,2,3,3500162,4,1,10.0,48,true
2026-01-07,2,3,3500162,5,1,11.0,53,true
2026-01-07,2,3,3500162,6,1,22.0,105,true
2026-01-07,2,3,3500162,7,1,15.0,72,true
2026-01-07,2,3,3500162,8,1,10.0,48,true
2026-01-07,2,3,3500162,9,1,12.0,58,true
2026-01-07,2,3,3500162,10,1,10.0,48,true
2026-01-07,2,3,3500162,11,1,10.0,48,true
2026-01-07,2,3,3500162,12,1,10.0,48,true
2026-01-07,2,3,3500162,13,1,11.0,53,true
2026-01-07,4,3,3501430,1,1,20.0,63,true
2026-01-07,4,3,3501430,2,1,15.0,47,true
2026-01-07,4,3,3501430,3,1,12.0,38,true
2026-01-07,4,3,3501430,4,1,11.0,35,true
